               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080221,             0.18333,            0.024324,             0.71387,             0.21387,             0.16894,            0.083712,            0.065522,              0.1456,            0.015565,           0.0033267,           0.0033267,             0.07006
                   1,            0.067391,             0.18932,            0.014361,             0.69428,             0.22291,             0.21904,             0.11185,             0.05751,             0.14907,             0.01304,           0.0066598,           0.0066598,             0.04006
                   2,            0.064376,             0.19223,            0.013408,             0.67971,             0.22469,             0.26039,             0.13016,            0.056076,             0.15119,            0.013288,           0.0099923,           0.0099923,            0.010059
                   3,             0.06095,             0.18958,             0.01279,             0.65864,             0.24594,             0.26961,             0.13613,            0.054064,             0.15062,            0.011878,           0.0099978,           0.0099978,           0.0099978
                   4,            0.059418,             0.18779,            0.012121,              0.4917,             0.27456,             0.28665,             0.14816,             0.05315,             0.14719,            0.011264,           0.0099978,           0.0099978,           0.0099978
                   5,            0.058276,             0.18889,            0.011577,             0.42551,             0.29141,             0.29192,             0.15228,            0.053245,             0.14689,            0.011129,           0.0099961,           0.0099961,           0.0099961
                   6,            0.057704,             0.18616,            0.011277,             0.37756,             0.31503,             0.29329,             0.14975,            0.052525,              0.1464,            0.010871,           0.0099938,           0.0099938,           0.0099938
                   7,            0.057249,             0.18766,            0.011126,             0.44053,             0.30701,             0.30733,             0.16091,            0.052541,             0.14649,             0.01092,           0.0099911,           0.0099911,           0.0099911
                   8,            0.057074,             0.18619,            0.010952,             0.39207,             0.33034,             0.31348,             0.16079,               0.052,             0.14585,            0.010809,           0.0099879,           0.0099879,           0.0099879
                   9,            0.056699,              0.1848,            0.010743,             0.39486,             0.34073,             0.31929,             0.16444,            0.051726,             0.14572,            0.010567,           0.0099842,           0.0099842,           0.0099842
                  10,            0.056466,             0.18594,            0.010607,             0.44042,             0.31984,              0.3118,             0.16472,            0.051753,             0.14501,             0.01064,             0.00998,             0.00998,             0.00998
                  11,             0.05619,             0.18448,            0.010507,             0.51233,             0.31752,             0.33266,             0.17094,            0.051809,              0.1454,            0.010746,           0.0099753,           0.0099753,           0.0099753
                  12,            0.055983,             0.18508,            0.010316,             0.44232,             0.35579,             0.34396,             0.17799,            0.051189,             0.14351,            0.010137,           0.0099702,           0.0099702,           0.0099702
                  13,             0.05583,             0.18342,            0.010218,              0.4804,             0.34203,             0.34498,             0.18125,            0.051136,             0.14394,            0.010302,           0.0099645,           0.0099645,           0.0099645
                  14,            0.055763,             0.18491,            0.010134,             0.47982,             0.34892,             0.35132,             0.18339,            0.051382,             0.14447,            0.010261,           0.0099584,           0.0099584,           0.0099584
                  15,            0.055639,             0.18445,            0.010028,             0.48267,             0.31954,             0.33114,             0.17803,            0.051152,             0.14482,            0.010391,           0.0099517,           0.0099517,           0.0099517
                  16,            0.055486,             0.18326,            0.010009,             0.44543,             0.36481,             0.35177,             0.18338,            0.051066,             0.14389,            0.010246,           0.0099446,           0.0099446,           0.0099446
                  17,            0.055271,             0.18221,           0.0099046,             0.43576,             0.35296,             0.34504,             0.18253,             0.05102,             0.14352,            0.010126,            0.009937,            0.009937,            0.009937
                  18,            0.055019,             0.18112,           0.0097583,             0.48041,             0.33391,             0.34759,             0.17934,            0.051211,             0.14425,              0.0103,           0.0099289,           0.0099289,           0.0099289
                  19,            0.055084,             0.18063,           0.0098033,             0.53035,             0.31989,             0.35014,             0.18322,            0.050972,             0.14368,           0.0099657,           0.0099203,           0.0099203,           0.0099203
                  20,            0.055263,             0.18396,            0.009759,             0.41935,             0.35045,             0.34977,             0.18569,            0.050909,             0.14309,            0.010078,           0.0099112,           0.0099112,           0.0099112
                  21,            0.055087,             0.18271,           0.0097587,             0.43911,             0.34217,              0.3419,             0.18443,            0.050823,             0.14382,            0.009972,           0.0099017,           0.0099017,           0.0099017
                  22,            0.054776,             0.18033,           0.0095586,             0.46312,             0.33999,             0.34964,              0.1849,            0.050676,             0.14426,            0.010129,           0.0098916,           0.0098916,           0.0098916
                  23,            0.054746,             0.18048,           0.0095715,             0.41502,             0.35577,              0.3404,             0.18119,            0.050905,             0.14514,             0.01009,           0.0098811,           0.0098811,           0.0098811
                  24,            0.054768,             0.18142,            0.009457,              0.4514,             0.35683,             0.36304,             0.19119,            0.050531,             0.14335,           0.0099483,           0.0098701,           0.0098701,           0.0098701
                  25,            0.054628,             0.18146,           0.0093469,             0.51941,              0.3427,             0.36256,             0.18637,            0.050612,             0.14298,           0.0098516,           0.0098586,           0.0098586,           0.0098586
                  26,            0.054517,             0.18001,            0.009302,             0.50511,             0.34197,             0.35731,             0.19101,            0.050549,             0.14309,           0.0098565,           0.0098467,           0.0098467,           0.0098467
                  27,            0.054483,             0.18024,           0.0093432,             0.50699,             0.33913,             0.35484,             0.18923,            0.050637,             0.14354,            0.010026,           0.0098342,           0.0098342,           0.0098342
                  28,            0.054514,              0.1806,           0.0091874,             0.42124,             0.36041,             0.35529,             0.19141,            0.050875,             0.14457,            0.010069,           0.0098213,           0.0098213,           0.0098213
                  29,            0.054226,             0.18006,           0.0093248,             0.46159,             0.35428,             0.35375,             0.19083,            0.050442,             0.14347,           0.0098541,           0.0098079,           0.0098079,           0.0098079
                  30,            0.054184,             0.18021,           0.0090505,             0.41529,             0.37547,             0.36027,              0.1914,            0.050641,             0.14313,            0.010039,           0.0097941,           0.0097941,           0.0097941
                  31,            0.054233,             0.17931,           0.0091852,             0.45293,             0.36222,             0.35874,             0.19128,            0.050508,             0.14321,           0.0099424,           0.0097798,           0.0097798,           0.0097798
                  32,            0.054203,             0.17865,           0.0090852,             0.45206,             0.34595,             0.34803,             0.18751,            0.050623,             0.14441,            0.010144,            0.009765,            0.009765,            0.009765
                  33,            0.054187,             0.18049,           0.0090792,             0.49022,              0.3685,             0.37033,             0.19584,            0.050496,             0.14375,           0.0098514,           0.0097497,           0.0097497,           0.0097497
                  34,            0.054371,             0.17942,            0.009102,             0.48951,             0.34769,             0.36402,             0.19456,            0.050306,             0.14281,           0.0098903,            0.009734,            0.009734,            0.009734
                  35,             0.05401,             0.17949,           0.0090319,             0.46869,             0.36965,             0.36643,              0.1954,            0.050368,             0.14294,           0.0099386,           0.0097178,           0.0097178,           0.0097178
                  36,            0.054043,             0.17723,           0.0089738,             0.42907,             0.38195,             0.36632,             0.19359,            0.050355,             0.14327,           0.0097811,           0.0097011,           0.0097011,           0.0097011
                  37,            0.053879,             0.17807,           0.0090598,             0.47532,             0.36472,             0.36652,             0.19468,            0.050312,              0.1425,           0.0098569,            0.009684,            0.009684,            0.009684
                  38,             0.05384,             0.17812,           0.0089411,             0.48216,             0.34923,             0.36157,             0.19565,            0.050343,             0.14327,            0.010038,           0.0096664,           0.0096664,           0.0096664
                  39,            0.053734,             0.17772,            0.008797,             0.43963,              0.3607,             0.36273,             0.19468,            0.050301,             0.14281,            0.009977,           0.0096484,           0.0096484,           0.0096484
                  40,            0.054031,             0.17821,           0.0088521,             0.47303,             0.36322,             0.37343,             0.20005,            0.050182,             0.14229,           0.0098699,           0.0096299,           0.0096299,           0.0096299
                  41,            0.053781,             0.17715,           0.0086801,              0.3896,             0.39234,             0.36329,              0.1975,            0.050211,             0.14226,           0.0099097,            0.009611,            0.009611,            0.009611
                  42,            0.053894,             0.17906,           0.0089358,             0.44793,             0.37303,             0.37146,              0.1966,            0.050453,              0.1442,           0.0099741,           0.0095916,           0.0095916,           0.0095916
                  43,            0.053753,             0.17867,           0.0088035,             0.45599,             0.36357,              0.3612,             0.19517,            0.050409,             0.14379,           0.0098313,           0.0095717,           0.0095717,           0.0095717
                  44,            0.053823,               0.179,           0.0086721,             0.45996,             0.37059,             0.36698,             0.19587,            0.050295,             0.14301,           0.0098583,           0.0095514,           0.0095514,           0.0095514
                  45,             0.05372,             0.17743,            0.008773,             0.46229,             0.37023,             0.36556,             0.19442,            0.050251,             0.14306,           0.0097811,           0.0095307,           0.0095307,           0.0095307
                  46,            0.053622,             0.17842,           0.0086238,             0.45101,              0.3676,             0.36716,             0.19594,            0.050254,              0.1431,           0.0098292,           0.0095095,           0.0095095,           0.0095095
                  47,            0.053556,             0.17635,           0.0085753,             0.43068,             0.37732,             0.36776,             0.19931,             0.05015,             0.14257,           0.0097392,           0.0094879,           0.0094879,           0.0094879
                  48,            0.053633,             0.17857,           0.0086376,             0.49336,             0.35872,             0.36836,              0.1991,            0.050217,             0.14307,           0.0098283,           0.0094659,           0.0094659,           0.0094659
                  49,            0.053707,             0.17908,           0.0085585,             0.49261,             0.35699,             0.37158,             0.19768,            0.050188,             0.14303,           0.0096925,           0.0094434,           0.0094434,           0.0094434
                  50,            0.053344,              0.1759,           0.0084522,             0.45034,             0.36225,             0.36419,             0.19664,            0.050209,             0.14265,            0.010055,           0.0094205,           0.0094205,           0.0094205
                  51,             0.05339,              0.1759,           0.0084659,             0.49427,             0.37044,              0.3715,             0.19878,            0.050214,             0.14284,            0.010001,           0.0093971,           0.0093971,           0.0093971
                  52,            0.053339,             0.17499,           0.0084793,             0.45347,             0.37667,             0.37351,             0.19973,            0.050193,             0.14312,           0.0099825,           0.0093733,           0.0093733,           0.0093733
                  53,             0.05323,             0.17591,            0.008413,             0.47214,             0.36704,             0.36552,             0.19577,            0.050149,             0.14317,           0.0098949,           0.0093491,           0.0093491,           0.0093491
                  54,            0.053225,             0.17503,           0.0082453,             0.48649,             0.37828,             0.36906,             0.19735,            0.050209,             0.14361,           0.0099775,           0.0093245,           0.0093245,           0.0093245
                  55,            0.053124,             0.17424,           0.0084488,             0.50933,             0.36481,             0.37475,             0.20127,             0.05002,             0.14297,           0.0098699,           0.0092995,           0.0092995,           0.0092995
                  56,            0.053318,             0.17479,           0.0084158,             0.43505,             0.38302,             0.36872,             0.19924,            0.050207,             0.14346,           0.0099584,            0.009274,            0.009274,            0.009274
                  57,            0.053246,             0.17764,           0.0082632,             0.45524,             0.37363,             0.36595,             0.19849,            0.050204,             0.14345,           0.0098046,           0.0092481,           0.0092481,           0.0092481
                  58,            0.053207,             0.17642,           0.0084211,              0.4346,             0.39153,             0.37027,             0.19966,            0.050124,             0.14372,           0.0098915,           0.0092219,           0.0092219,           0.0092219
                  59,            0.053119,               0.174,           0.0082539,             0.50245,             0.37074,             0.37564,             0.20232,            0.049917,             0.14258,           0.0098548,           0.0091952,           0.0091952,           0.0091952
                  60,            0.053098,             0.17604,           0.0083356,              0.4701,             0.36845,             0.36834,             0.19907,            0.050072,             0.14349,           0.0098713,           0.0091681,           0.0091681,           0.0091681
                  61,            0.052925,              0.1737,           0.0082118,             0.46326,              0.3851,             0.37323,              0.2002,            0.050094,             0.14284,           0.0099219,           0.0091406,           0.0091406,           0.0091406
                  62,            0.053018,             0.17376,            0.008331,             0.42424,             0.39965,             0.37641,             0.19981,            0.050098,             0.14317,           0.0098516,           0.0091127,           0.0091127,           0.0091127
                  63,            0.053083,              0.1744,           0.0081402,             0.43647,             0.37696,             0.36966,              0.1998,            0.050088,             0.14315,           0.0099942,           0.0090844,           0.0090844,           0.0090844
                  64,            0.052951,             0.17524,           0.0080486,             0.46765,             0.36371,              0.3697,             0.19878,            0.050209,             0.14372,            0.010121,           0.0090557,           0.0090557,           0.0090557
                  65,            0.052765,             0.17463,           0.0080351,             0.46674,             0.36758,             0.36688,             0.19846,            0.050163,              0.1433,            0.010081,           0.0090266,           0.0090266,           0.0090266
